warehouse_id,warehouse_name,state,region,material_name,material_category,current_stock_mt,capacity_mt,unit,reorder_level_mt,safety_stock_mt,lead_time_days,supplier_name,last_updated,storage_location,batch_number,expiry_date,storage_cost_per_mt_month,material_grade,quality_certificate
WH001,PGCIL Central Warehouse,Maharashtra,Western,Galvanized Lattice Steel,Steel,850.5,2000,MT,400,200,45,Tata Steel Ltd,2024-12-08,Zone-A Bay-1,STL-2024-001,N/A,220.81,IS 2062 Grade E250,CERT-STL-2024-001
WH001,PGCIL Central Warehouse,Maharashtra,Western,Reinforcement Steel,Steel,324.8,500,MT,150,75,30,JSW Steel,2024-12-07,Zone-A Bay-2,STL-2024-002,N/A,215.50,Fe 500D,CERT-STL-2024-002
WH001,PGCIL Central Warehouse,Maharashtra,Western,High-Tensile Bolts,Hardware,15000,35000,Nos,8000,3000,20,L&T Engineering,2024-12-08,Zone-B Rack-1,HW-2024-001,N/A,2.5,IS 1367 Grade 8.8,CERT-HW-2024-001
WH001,PGCIL Central Warehouse,Maharashtra,Western,ACSR Zebra Conductor,Conductor,456.2,800,MT,200,80,60,Sterlite Power,2024-12-06,Zone-C Bay-1,COND-2024-001,N/A,304.12,ACSR 300/50,CERT-COND-2024-001
WH001,PGCIL Central Warehouse,Maharashtra,Western,ACSR Panther Conductor,Conductor,189.4,400,MT,120,50,60,Apar Industries,2024-12-07,Zone-C Bay-2,COND-2024-002,N/A,298.50,ACSR 400/50,CERT-COND-2024-002
WH001,PGCIL Central Warehouse,Maharashtra,Western,Earth Wire GSS,Conductor,67.8,150,MT,40,20,55,KEC International,2024-12-08,Zone-C Bay-3,COND-2024-003,N/A,285.00,7/3.15mm GSS,CERT-COND-2024-003
WH001,PGCIL Central Warehouse,Maharashtra,Western,OPGW Cable,Conductor,45.6,100,MT,30,15,75,Finolex Cables,2024-12-05,Zone-C Bay-4,COND-2024-004,N/A,450.00,OPGW 48 Fiber,CERT-COND-2024-004
WH001,PGCIL Central Warehouse,Maharashtra,Western,Disc Insulators,Insulator,12500,25000,Nos,6000,2500,40,NGK Insulators,2024-12-08,Zone-D Rack-1,INS-2024-001,N/A,345.49,160 kN,CERT-INS-2024-001
WH001,PGCIL Central Warehouse,Maharashtra,Western,Polymer Insulators,Insulator,3400,8000,Nos,2000,800,35,Aditya Birla,2024-12-07,Zone-D Rack-2,INS-2024-002,N/A,320.25,Composite Type,CERT-INS-2024-002
WH001,PGCIL Central Warehouse,Maharashtra,Western,Suspension Clamps,Hardware,5600,12000,Nos,3000,1200,25,Powertech Engineers,2024-12-08,Zone-B Rack-2,HW-2024-002,N/A,2.8,Forged Aluminum,CERT-HW-2024-002
